id,Force (N),Position (mm),Stress (MPa),Strain (%),Time (min)
1501,13300.0,5.88,364.0,7.66,5.88
2586,14900.0,10.1,409.0,13.2,10.1
2653,14900.0,10.4,411.0,13.5,10.4
1055,12300.0,4.13,338.0,5.39,4.14
705,8640.0,2.76,238.0,3.6,2.77
106,587.0,0.414,16.1,0.54,0.421
589,6330.0,2.31,174.0,3.01,2.31
2468,14800.0,9.66,407.0,12.6,9.67
2413,14700.0,9.44,405.0,12.3,9.45
1600,13500.0,6.26,371.0,8.17,6.27
2464,14800.0,9.64,407.0,12.6,9.65
228,1490.0,0.892,40.9,1.16,0.898
915,12200.0,3.58,334.0,4.67,3.59
794,10500.0,3.11,288.0,4.05,3.11
3021,15200.0,11.8,417.0,15.4,11.8
3543,15300.0,13.9,421.0,18.1,13.9
1073,12300.0,4.2,339.0,5.48,4.21
3351,15300.0,13.1,420.0,17.1,13.1
1744,13800.0,6.83,380.0,8.9,6.83
1084,12300.0,4.24,339.0,5.53,4.25
926,12200.0,3.62,335.0,4.73,3.63
3049,15200.0,11.9,417.0,15.6,11.9
1117,12400.0,4.37,340.0,5.7,4.38
642,7360.0,2.51,202.0,3.28,2.52
4767,14000.0,18.7,385.0,24.3,18.7
501,4770.0,1.96,131.0,2.56,1.97
4066,15300.0,15.9,422.0,20.8,15.9
333,2440.0,1.3,67.2,1.7,1.31
4684,14500.0,18.3,398.0,23.9,18.3
486,4520.0,1.9,124.0,2.48,1.91
1962,14200.0,7.68,390.0,10.0,7.69
393,3100.0,1.54,85.2,2.01,1.54
4842,13300.0,19.0,367.0,24.7,19.0
4866,13000.0,19.0,359.0,24.8,19.1
1755,13800.0,6.87,380.0,8.96,6.88
2515,14800.0,9.84,408.0,12.8,9.85
3585,15300.0,14.0,421.0,18.3,14.0
4315,15300.0,16.9,420.0,22.0,16.9
4966,10900.0,19.4,300.0,25.4,19.4
2099,14400.0,8.22,396.0,10.7,8.22
3599,15300.0,14.1,421.0,18.4,14.1
4121,15300.0,16.1,422.0,21.0,16.1
29,25.0,0.113,0.687,0.147,0.119
65,219.0,0.254,6.03,0.331,0.26
838,11300.0,3.28,311.0,4.28,3.29
3906,15400.0,15.3,422.0,19.9,15.3
3773,15400.0,14.8,422.0,19.3,14.8
4635,14700.0,18.1,404.0,23.7,18.1
3161,15200.0,12.4,418.0,16.1,12.4
2659,15000.0,10.4,411.0,13.6,10.4
4615,14800.0,18.1,406.0,23.6,18.1
4628,14700.0,18.1,404.0,23.6,18.1
2451,14800.0,9.59,406.0,12.5,9.6
2846,15100.0,11.1,414.0,14.5,11.1
1144,12400.0,4.48,340.0,5.84,4.48
3078,15200.0,12.0,418.0,15.7,12.1
1103,12400.0,4.32,340.0,5.63,4.32
168,1030.0,0.657,28.2,0.857,0.663
1670,13700.0,6.54,375.0,8.53,6.54
2570,14900.0,10.1,409.0,13.1,10.1
2377,14700.0,9.3,404.0,12.1,9.31
4395,15200.0,17.2,418.0,22.4,17.2
4257,15300.0,16.7,420.0,21.7,16.7
3862,15400.0,15.1,422.0,19.7,15.1
23,20.0,0.089,0.55,0.116,0.096
2633,14900.0,10.3,411.0,13.4,10.3
3340,15300.0,13.1,420.0,17.1,13.1
2215,14500.0,8.67,400.0,11.3,8.68
3682,15300.0,14.4,422.0,18.8,14.4
4724,14300.0,18.5,393.0,24.1,18.5
1907,14100.0,7.46,388.0,9.74,7.47
84,501.0,0.328,13.8,0.428,0.335
227,1480.0,0.888,40.6,1.16,0.894
296,2090.0,1.16,57.6,1.51,1.16
1001,12100.0,3.92,333.0,5.11,3.92
2138,14400.0,8.37,397.0,10.9,8.37
711,8760.0,2.78,241.0,3.63,2.79
2801,15000.0,11.0,414.0,14.3,11.0
2527,14900.0,9.89,408.0,12.9,9.9
3752,15400.0,14.7,422.0,19.2,14.7
3321,15300.0,13.0,420.0,17.0,13.0
3181,15200.0,12.5,419.0,16.2,12.5
4183,15300.0,16.4,421.0,21.4,16.4
1615,13500.0,6.32,372.0,8.25,6.33
3024,15200.0,11.8,417.0,15.4,11.8
1413,13000.0,5.53,358.0,7.21,5.54
763,9840.0,2.99,270.0,3.9,2.99
655,7620.0,2.56,209.0,3.34,2.57
4797,13800.0,18.8,379.0,24.5,18.8
3849,15400.0,15.1,422.0,19.7,15.1
4153,15300.0,16.3,421.0,21.2,16.3
468,4240.0,1.83,117.0,2.39,1.84
157,938.0,0.614,25.8,0.801,0.62
1295,12600.0,5.07,346.0,6.61,5.07
497,4700.0,1.95,129.0,2.54,1.95
4740,14200.0,18.6,390.0,24.2,18.6
2940,15100.0,11.5,416.0,15.0,11.5
3456,15300.0,13.5,421.0,17.6,13.5
373,2840.0,1.46,78.1,1.9,1.47
79,428.0,0.309,11.8,0.403,0.315
1553,13400.0,6.08,368.0,7.93,6.08
1669,13700.0,6.53,375.0,8.52,6.54
2131,14400.0,8.34,397.0,10.9,8.35
4439,15100.0,17.4,416.0,22.7,17.4
465,4190.0,1.82,115.0,2.37,1.83
248,1660.0,0.97,45.7,1.27,0.977
931,12200.0,3.64,336.0,4.75,3.65
1335,12800.0,5.23,351.0,6.82,5.23
4524,15000.0,17.7,412.0,23.1,17.7
1338,12800.0,5.24,351.0,6.83,5.24
1406,13000.0,5.5,357.0,7.18,5.51
1090,12400.0,4.27,340.0,5.56,4.27
4209,15300.0,16.5,421.0,21.5,16.5
742,9410.0,2.9,259.0,3.79,2.91
2323,14700.0,9.09,403.0,11.9,9.1
3601,15300.0,14.1,422.0,18.4,14.1
2123,14400.0,8.31,396.0,10.8,8.32
2094,14400.0,8.2,395.0,10.7,8.2
240,1590.0,0.939,43.7,1.22,0.945
2351,14700.0,9.2,404.0,12.0,9.21
1370,12900.0,5.36,354.0,6.99,5.37
1057,12300.0,4.14,338.0,5.4,4.14
4816,13600.0,18.9,374.0,24.6,18.9
199,1250.0,0.778,34.4,1.01,0.785
2280,14600.0,8.92,402.0,11.6,8.93
4749,14100.0,18.6,389.0,24.2,18.6
2220,14500.0,8.69,400.0,11.3,8.7
4771,14000.0,18.7,385.0,24.4,18.7
2819,15100.0,11.0,414.0,14.4,11.0
3150,15200.0,12.3,418.0,16.1,12.3
4256,15300.0,16.7,421.0,21.7,16.7
3107,15200.0,12.2,418.0,15.9,12.2
1973,14200.0,7.72,391.0,10.1,7.73
1375,12900.0,5.38,354.0,7.02,5.39
3968,15400.0,15.5,422.0,20.3,15.5
4062,15300.0,15.9,422.0,20.7,15.9
4445,15100.0,17.4,416.0,22.7,17.4
3557,15300.0,13.9,421.0,18.2,13.9
964,12300.0,3.77,338.0,4.92,3.78
179,1100.0,0.7,30.2,0.913,0.707
3698,15300.0,14.5,422.0,18.9,14.5
3821,15400.0,15.0,422.0,19.5,15.0
4878,12900.0,19.1,354.0,24.9,19.1
3899,15400.0,15.3,422.0,19.9,15.3
4487,15100.0,17.6,414.0,22.9,17.6
3238,15200.0,12.7,419.0,16.5,12.7
2974,15100.0,11.6,416.0,15.2,11.6
3580,15300.0,14.0,421.0,18.3,14.0
2887,15100.0,11.3,415.0,14.7,11.3
2575,14900.0,10.1,409.0,13.1,10.1
1419,13000.0,5.55,358.0,7.24,5.56
3907,15400.0,15.3,422.0,19.9,15.3
4673,14500.0,18.3,400.0,23.9,18.3
4902,12500.0,19.2,343.0,25.0,19.2
1860,14000.0,7.28,386.0,9.5,7.29
8,7.5,0.031,0.206,0.0404,0.0372
2894,15100.0,11.3,415.0,14.8,11.3
2847,15100.0,11.1,414.0,14.5,11.1
3664,15300.0,14.3,422.0,18.7,14.3
144,830.0,0.563,22.8,0.734,0.57
2104,14400.0,8.24,396.0,10.7,8.24
3143,15200.0,12.3,418.0,16.0,12.3
841,11400.0,3.29,312.0,4.29,3.3
1128,12400.0,4.42,340.0,5.76,4.42
151,886.0,0.59,24.4,0.77,0.597
